"Query","Entrez","Symbol","Name","Comment"
"RPL18A","6142","RPL18A","ribosomal protein L18a","1"
"TMED2","10959","TMED2","transmembrane p24 trafficking protein 2","1"
"SUMO1","7341","SUMO1","small ubiquitin like modifier 1","1"
"CCDC30","728621","CCDC30","coiled-coil domain containing 30","1"
"KLHDC3","116138","KLHDC3","kelch domain containing 3","1"
"MSRA","4482","MSRA","methionine sulfoxide reductase A","1"
"COPS9","150678","COPS9","COP9 signalosome subunit 9","1"
"GABARAPL1","23710","GABARAPL1","GABA type A receptor associated protein like 1","1"
"PFN2","5217","PFN2","profilin 2","1"
"FRMD4A","55691","FRMD4A","FERM domain containing 4A","1"
"RPL41","6171","RPL41","ribosomal protein L41","1"
"RPL7A","6130","RPL7A","ribosomal protein L7a","1"
"EIF4A2","1974","EIF4A2","eukaryotic translation initiation factor 4A2","1"
"SET","6418","SET","SET nuclear proto-oncogene","1"
"TMEM160","54958","TMEM160","transmembrane protein 160","1"
"RGS4","5999","RGS4","regulator of G protein signaling 4","1"
"MAL2","114569","MAL2","""mal, T cell differentiation protein 2 (gene/pseudogene)""","1"
"MACF1","23499","MACF1","microtubule actin crosslinking factor 1","1"
"TAF7","6879","TAF7","TATA-box binding protein associated factor 7","1"
"CAPZA2","830","CAPZA2","capping actin protein of muscle Z-line subunit alpha 2","1"
"VBP1","7411","VBP1","VHL binding protein 1","1"
"FAM32A","26017","FAM32A","family with sequence similarity 32 member A","1"
"ZNF782","158431","ZNF782","zinc finger protein 782","1"
"NDUFB5","4711","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","1"
"WSB2","55884","WSB2","WD repeat and SOCS box containing 2","1"
"ATP6AP1","537","ATP6AP1","ATPase H+ transporting accessory protein 1","1"
"FRMPD4","9758","FRMPD4","FERM and PDZ domain containing 4","1"
"NAT8L","339983","NAT8L","N-acetyltransferase 8 like","1"
"PNMA1","9240","PNMA1","PNMA family member 1","1"
"TMEM203","94107","TMEM203","transmembrane protein 203","1"
"SRSF9","8683","SRSF9","serine and arginine rich splicing factor 9","1"
"RPLP1","6176","RPLP1","ribosomal protein lateral stalk subunit P1","1"
"GUK1","2987","GUK1","guanylate kinase 1","1"
"PDSS2","57107","PDSS2","decaprenyl diphosphate synthase subunit 2","1"
"YWHAH","7533","YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta","1"
"MMP24OS","101410538","MMP24OS","MMP24 opposite strand","1"
"OTUD7A","161725","OTUD7A","OTU deubiquitinase 7A","1"
"ZDHHC20","253832","ZDHHC20","zinc finger DHHC-type palmitoyltransferase 20","1"
"SPRY4","81848","SPRY4","sprouty RTK signaling antagonist 4","1"
"RPL29","6159","RPL29","ribosomal protein L29","1"
"MCPH1","79648","MCPH1","microcephalin 1","1"
"PSMD7","5713","PSMD7","""proteasome 26S subunit, non-ATPase 7""","1"
"PIP4K2C","79837","PIP4K2C","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma","1"
"OAZ2","4947","OAZ2","ornithine decarboxylase antizyme 2","1"
"C1orf43","25912","C1orf43","chromosome 1 open reading frame 43","1"
"MYO1D","4642","MYO1D","myosin ID","1"
"TAOK3","51347","TAOK3","TAO kinase 3","1"
"EIF1B","10289","EIF1B","eukaryotic translation initiation factor 1B","1"
"BHLHE40","8553","BHLHE40","basic helix-loop-helix family member e40","1"
"DHCR24","1718","DHCR24","24-dehydrocholesterol reductase","1"
"UBE3D","90025","UBE3D","ubiquitin protein ligase E3D","1"
"ISCA1","81689","ISCA1","iron-sulfur cluster assembly 1","1"
"SNHG29","125144","SNHG29","small nucleolar RNA host gene 29","1"
"SIK3","23387","SIK3","SIK family kinase 3","1"
"ACACA","31","ACACA","acetyl-CoA carboxylase alpha","1"
"TMEM141","85014","TMEM141","transmembrane protein 141","1"
"NDFIP1","80762","NDFIP1","Nedd4 family interacting protein 1","1"
"TMA7","51372","TMA7","translation machinery associated 7 homolog","1"
"ANAPC15","25906","ANAPC15","anaphase promoting complex subunit 15","1"
"PEX11B","8799","PEX11B","peroxisomal biogenesis factor 11 beta","1"
"HNRNPA0","10949","HNRNPA0","heterogeneous nuclear ribonucleoprotein A0","1"
"TOMM22","56993","TOMM22","translocase of outer mitochondrial membrane 22","1"
"TJP1","7082","TJP1","tight junction protein 1","1"
"MLLT11","10962","MLLT11","MLLT11 transcription factor 7 cofactor","1"
"CLASP1","23332","CLASP1","cytoplasmic linker associated protein 1","1"
"RAN","5901","RAN","""RAN, member RAS oncogene family""","1"
"BEX4","56271","BEX4","brain expressed X-linked 4","1"
"TOMM5","401505","TOMM5","translocase of outer mitochondrial membrane 5","1"
"C3orf80","401097","C3orf80","chromosome 3 open reading frame 80","1"
"DUSP4","1846","DUSP4","dual specificity phosphatase 4","1"
"MBTD1","54799","MBTD1","mbt domain containing 1","1"
"PIGX","54965","PIGX","phosphatidylinositol glycan anchor biosynthesis class X","1"
"CBFA2T2","9139","CBFA2T2","CBFA2/RUNX1 partner transcriptional co-repressor 2","1"
"ZNF133","7692","ZNF133","zinc finger protein 133","1"
"MSI2","124540","MSI2","musashi RNA binding protein 2","1"
"EAF1","85403","EAF1","ELL associated factor 1","1"
"SMDT1","91689","SMDT1","single-pass membrane protein with aspartate rich tail 1","1"
"LRRC47","57470","LRRC47","leucine rich repeat containing 47","1"
"TPRG1L","127262","TPRG1L","tumor protein p63 regulated 1 like","1"
"TMEM9B","56674","TMEM9B","TMEM9 domain family member B","1"
"RPL3","6122","RPL3","ribosomal protein L3","1"
"DCAF11","80344","DCAF11","DDB1 and CUL4 associated factor 11","1"
"LAMTOR5","10542","LAMTOR5","""late endosomal/lysosomal adaptor, MAPK and MTOR activator 5""","1"
"BTBD6","90135","BTBD6","BTB domain containing 6","1"
"WARS","NA","NA","NA","0"
"H2AFZ","NA","NA","NA","0"
"GDI2","2665","GDI2","GDP dissociation inhibitor 2","1"
"PMM1","5372","PMM1","phosphomannomutase 1","1"
"OTUB1","55611","OTUB1","""OTU deubiquitinase, ubiquitin aldehyde binding 1""","1"
"NEIL2","252969","NEIL2","nei like DNA glycosylase 2","1"
"PCYOX1","51449","PCYOX1","prenylcysteine oxidase 1","1"
"SETD2","29072","SETD2","""SET domain containing 2, histone lysine methyltransferase""","1"
"NECAP1","25977","NECAP1","NECAP endocytosis associated 1","1"
"MRTFA","57591","MRTFA","myocardin related transcription factor A","1"
"OPRL1","4987","OPRL1","opioid related nociceptin receptor 1","1"
"MCFD2","90411","MCFD2","""multiple coagulation factor deficiency 2, ER cargo receptor complex subunit""","1"
"NCKIPSD","51517","NCKIPSD","NCK interacting protein with SH3 domain","1"
"ATXN2","6311","ATXN2","ataxin 2","1"
"AGBL4","84871","AGBL4","ATP/GTP binding protein like 4","1"
"MZT1","440145","MZT1","mitotic spindle organizing protein 1","1"
"TTC17","55761","TTC17","tetratricopeptide repeat domain 17","1"
"THY1","7070","THY1","Thy-1 cell surface antigen","1"
"FAM222B","55731","FAM222B","family with sequence similarity 222 member B","1"
"NCBP2","22916","NCBP2","nuclear cap binding protein subunit 2","1"
"SNTG1","54212","SNTG1","syntrophin gamma 1","1"
"MRFAP1","93621","MRFAP1","Morf4 family associated protein 1","1"
"ADO","84890","ADO","2-aminoethanethiol dioxygenase","1"
"APLP2","334","APLP2","amyloid beta precursor like protein 2","1"
"RPS14","6208","RPS14","ribosomal protein S14","1"
"PTPRE","5791","PTPRE","protein tyrosine phosphatase receptor type E","1"
"AAMP","14","AAMP","angio associated migratory cell protein","1"
"CDV3","55573","CDV3","CDV3 homolog","1"
"ADCY9","115","ADCY9","adenylate cyclase 9","1"
"UBE2V2","7336","UBE2V2","ubiquitin conjugating enzyme E2 V2","1"
"NEFL","4747","NEFL","neurofilament light","1"
"CISD2","493856","CISD2","CDGSH iron sulfur domain 2","1"
"EHMT1","79813","EHMT1","euchromatic histone lysine methyltransferase 1","1"
"SCAPER","49855","SCAPER","S-phase cyclin A associated protein in the ER","1"
"ENC1","8507","ENC1","ectodermal-neural cortex 1","1"
"SLC25A5","292","SLC25A5","solute carrier family 25 member 5","1"
"ATP6V0D1","9114","ATP6V0D1","ATPase H+ transporting V0 subunit d1","1"
"EIF1","10209","EIF1","eukaryotic translation initiation factor 1","1"
"BCL2L2","599","BCL2L2","BCL2 like 2","1"
"LAMP1","3916","LAMP1","lysosomal associated membrane protein 1","1"
"RNF5","6048","RNF5","ring finger protein 5","1"
"ATP9B","374868","ATP9B","ATPase phospholipid transporting 9B (putative)","1"
"UBL4A","8266","UBL4A","ubiquitin like 4A","1"
"ARPC5L","81873","ARPC5L","actin related protein 2/3 complex subunit 5 like","1"
"CCDC47","57003","CCDC47","coiled-coil domain containing 47","1"
"SSH2","85464","SSH2","slingshot protein phosphatase 2","1"
"BRK1","55845","BRK1","BRICK1 subunit of SCAR/WAVE actin nucleating complex","1"
"MYADM","91663","MYADM","myeloid associated differentiation marker","1"
"RPLP2","6181","RPLP2","ribosomal protein lateral stalk subunit P2","1"
"MACROD2","140733","MACROD2","mono-ADP ribosylhydrolase 2","1"
"TOMM20","9804","TOMM20","translocase of outer mitochondrial membrane 20","1"
"THEM6","51337","THEM6","thioesterase superfamily member 6","1"
"L1CAM","3897","L1CAM","L1 cell adhesion molecule","1"
"USP5","8078","USP5","ubiquitin specific peptidase 5","1"
"PIBF1","10464","PIBF1","progesterone immunomodulatory binding factor 1","1"
"SNAPC5","10302","SNAPC5","small nuclear RNA activating complex polypeptide 5","1"
"ATP6V1B2","526","ATP6V1B2","ATPase H+ transporting V1 subunit B2","1"
"SYNM","23336","SYNM","synemin","1"
"WDR19","57728","WDR19","WD repeat domain 19","1"
"GNL1","2794","GNL1","G protein nucleolar 1 (putative)","1"
"CBLN4","140689","CBLN4","cerebellin 4 precursor","1"
"C19orf53","28974","C19orf53","chromosome 19 open reading frame 53","1"
"ETV1","2115","ETV1","ETS variant transcription factor 1","1"
"BBS9","27241","BBS9","Bardet-Biedl syndrome 9","1"
"BCAS3","54828","BCAS3","BCAS3 microtubule associated cell migration factor","1"
"DAZAP2","9802","DAZAP2","DAZ associated protein 2","1"
"APBA1","320","APBA1","amyloid beta precursor protein binding family A member 1","1"
"REEP5","7905","REEP5","receptor accessory protein 5","1"
"ARF6","382","ARF6","ADP ribosylation factor 6","1"
"RPS2","6187","RPS2","ribosomal protein S2","1"
"FAU","2197","FAU","FAU ubiquitin like and ribosomal protein S30 fusion","1"
"PIP4P1","90809","PIP4P1","""phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1""","1"
"TRIM23","373","TRIM23","tripartite motif containing 23","1"
"EIF5","1983","EIF5","eukaryotic translation initiation factor 5","1"
"TRAF3","7187","TRAF3","TNF receptor associated factor 3","1"
"SFSWAP","6433","SFSWAP","splicing factor SWAP","1"
"GRINA","2907","GRINA","glutamate ionotropic receptor NMDA type subunit associated protein 1","1"
"ATP6V1A","523","ATP6V1A","ATPase H+ transporting V1 subunit A","1"
"NRG3","10718","NRG3","neuregulin 3","1"
"STK16","8576","STK16","serine/threonine kinase 16","1"
"TNRC6A","27327","TNRC6A","trinucleotide repeat containing adaptor 6A","1"
"RPL39","6170","RPL39","ribosomal protein L39","1"
"UNC79","57578","UNC79","""unc-79 homolog, NALCN channel complex subunit""","1"
"OPCML","4978","OPCML","opioid binding protein/cell adhesion molecule like","1"
"RALGPS2","55103","RALGPS2","Ral GEF with PH domain and SH3 binding motif 2","1"
"AP2M1","1173","AP2M1","adaptor related protein complex 2 subunit mu 1","1"
"B3GALNT1","8706","B3GALNT1","""beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)""","1"
"FAM120B","84498","FAM120B","family with sequence similarity 120B","1"
"GABRD","2563","GABRD","gamma-aminobutyric acid type A receptor subunit delta","1"
"RAB4A","5867","RAB4A","""RAB4A, member RAS oncogene family""","1"
"RTL6","84247","RTL6","retrotransposon Gag like 6","1"
"ACP1","52","ACP1","acid phosphatase 1","1"
"PEX19","5824","PEX19","peroxisomal biogenesis factor 19","1"
"MBD5","55777","MBD5","methyl-CpG binding domain protein 5","1"
"ATP6V1D","51382","ATP6V1D","ATPase H+ transporting V1 subunit D","1"
"ZPR1","8882","ZPR1","ZPR1 zinc finger","1"
"EXOC6B","23233","EXOC6B","exocyst complex component 6B","1"
"FOXP1","27086","FOXP1","forkhead box P1","1"
"NSD2","7468","NSD2","nuclear receptor binding SET domain protein 2","1"
"SAMD12","401474","SAMD12","sterile alpha motif domain containing 12","1"
"ARF4","378","ARF4","ADP ribosylation factor 4","1"
"MRPS12","6183","MRPS12","mitochondrial ribosomal protein S12","1"
"MKLN1","4289","MKLN1","muskelin 1","1"
"VPS25","84313","VPS25","vacuolar protein sorting 25 homolog","1"
"IGF1R","3480","IGF1R","insulin like growth factor 1 receptor","1"
"ZFAND3","60685","ZFAND3","zinc finger AN1-type containing 3","1"
"FAAH2","158584","FAAH2","fatty acid amide hydrolase 2","1"
"SOS1","6654","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","1"
"TNIK","23043","TNIK","TRAF2 and NCK interacting kinase","1"
"RNASEK","440400","RNASEK","ribonuclease K","1"
"ATP2A2","488","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","1"
"ANKS1B","56899","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B","1"
"RPS15","6209","RPS15","ribosomal protein S15","1"
"NARS","NA","NA","NA","0"
"SLC39A7","7922","SLC39A7","solute carrier family 39 member 7","1"
"MAGEF1","64110","MAGEF1","MAGE family member F1","1"
"SETBP1","26040","SETBP1","SET binding protein 1","1"
"EMC6","83460","EMC6","ER membrane protein complex subunit 6","1"
"SPCS1","28972","SPCS1","signal peptidase complex subunit 1","1"
"PDAP1","11333","PDAP1","PDGFA associated protein 1","1"
"TMEM183A","92703","TMEM183A","transmembrane protein 183A","1"
"FNBP1","23048","FNBP1","formin binding protein 1","1"
"FAM3C","10447","FAM3C","FAM3 metabolism regulating signaling molecule C","1"
"ACTR2","10097","ACTR2","actin related protein 2","1"
"CTNNA2","1496","CTNNA2","catenin alpha 2","1"
"ANTKMT","65990","ANTKMT","adenine nucleotide translocase lysine methyltransferase","1"
"CHGB","1114","CHGB","chromogranin B","1"
"GABRA1","2554","GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1","1"
"LRCH3","84859","LRCH3","leucine rich repeats and calponin homology domain containing 3","1"
"STMN3","50861","STMN3","stathmin 3","1"
"DIRAS2","54769","DIRAS2","DIRAS family GTPase 2","1"
"DLG2","1740","DLG2","discs large MAGUK scaffold protein 2","1"
"ATXN7L1","222255","ATXN7L1","ataxin 7 like 1","1"
"SUPT4H1","6827","SUPT4H1","""SPT4 homolog, DSIF elongation factor subunit""","1"
"SMKR1","100287482","SMKR1","small lysine rich protein 1","1"
"CPEB3","22849","CPEB3","cytoplasmic polyadenylation element binding protein 3","1"
"KMT2C","58508","KMT2C","lysine methyltransferase 2C","1"
"TCEAL8","90843","TCEAL8","transcription elongation factor A like 8","1"
"DUSP3","1845","DUSP3","dual specificity phosphatase 3","1"
"RPS16","6217","RPS16","ribosomal protein S16","1"
"USP46","64854","USP46","ubiquitin specific peptidase 46","1"
"MRPL19","9801","MRPL19","mitochondrial ribosomal protein L19","1"
"TIMM13","26517","TIMM13","translocase of inner mitochondrial membrane 13","1"
"CACNA1A","773","CACNA1A","calcium voltage-gated channel subunit alpha1 A","1"
"HSBP1","3281","HSBP1","heat shock factor binding protein 1","1"
"FER","2241","FER","FER tyrosine kinase","1"
"CACNA2D3","55799","CACNA2D3","calcium voltage-gated channel auxiliary subunit alpha2delta 3","1"
"SORBS1","10580","SORBS1","sorbin and SH3 domain containing 1","1"
"FBXL20","84961","FBXL20","F-box and leucine rich repeat protein 20","1"
"PCNX2","80003","PCNX2","pecanex 2","1"
"PHF21A","51317","PHF21A","PHD finger protein 21A","1"
"RPL10A","4736","RPL10A","ribosomal protein L10a","1"
"ATP5PB","515","ATP5PB","ATP synthase peripheral stalk-membrane subunit b","1"
"NR4A1","3164","NR4A1","nuclear receptor subfamily 4 group A member 1","1"
"RPL30","6156","RPL30","ribosomal protein L30","1"
"R3HDM2","22864","R3HDM2","R3H domain containing 2","1"
"GALNT17","64409","GALNT17","polypeptide N-acetylgalactosaminyltransferase 17","1"
"RPL23","9349","RPL23","ribosomal protein L23","1"
"ABCF2","10061","ABCF2","ATP binding cassette subfamily F member 2","1"
"CDKN2AIPNL","91368","CDKN2AIPNL","CDKN2A interacting protein N-terminal like","1"
"LY6E","4061","LY6E","lymphocyte antigen 6 family member E","1"
"SUB1","10923","SUB1","SUB1 regulator of transcription","1"
"ST3GAL6","10402","ST3GAL6","""ST3 beta-galactoside alpha-2,3-sialyltransferase 6""","1"
"CSMD1","64478","CSMD1","CUB and Sushi multiple domains 1","1"
"DENND1A","57706","DENND1A","DENN domain containing 1A","1"
"ERC1","23085","ERC1","ELKS/RAB6-interacting/CAST family member 1","1"
"ERP29","10961","ERP29","endoplasmic reticulum protein 29","1"
"PYURF","100996939","PYURF","PIGY upstream reading frame","1"
"PHACTR1","221692","PHACTR1","phosphatase and actin regulator 1","1"
"FAM135B","51059","FAM135B","family with sequence similarity 135 member B","1"
"CDKAL1","54901","CDKAL1","CDK5 regulatory subunit associated protein 1 like 1","1"
"MRPS24","64951","MRPS24","mitochondrial ribosomal protein S24","1"
"RPS15A","6210","RPS15A","ribosomal protein S15a","1"
"TM2D3","80213","TM2D3","TM2 domain containing 3","1"
"RPL18","6141","RPL18","ribosomal protein L18","1"
"CLVS1","157807","CLVS1","clavesin 1","1"
"TBC1D5","9779","TBC1D5","TBC1 domain family member 5","1"
"MFN2","9927","MFN2","mitofusin 2","1"
"ARL1","400","ARL1","ADP ribosylation factor like GTPase 1","1"
"ZNRF1","84937","ZNRF1","zinc and ring finger 1","1"
"RPS4X","6191","RPS4X","ribosomal protein S4 X-linked","1"
"RPL32","6161","RPL32","ribosomal protein L32","1"
"DSCAM","1826","DSCAM","DS cell adhesion molecule","1"
"ERC2","26059","ERC2","ELKS/RAB6-interacting/CAST family member 2","1"
"PDXP","57026","PDXP","pyridoxal phosphatase","1"
"FTH1","2495","FTH1","ferritin heavy chain 1","1"
"DIP2B","57609","DIP2B","disco interacting protein 2 homolog B","1"
"TM2D2","83877","TM2D2","TM2 domain containing 2","1"
"UQCRH","7388","UQCRH","ubiquinol-cytochrome c reductase hinge protein","1"
"TOX4","9878","TOX4","TOX high mobility group box family member 4","1"
"MAGI1","9223","MAGI1","""membrane associated guanylate kinase, WW and PDZ domain containing 1""","1"
"C16orf91","283951","C16orf91","chromosome 16 open reading frame 91","1"
"PPP1R12B","4660","PPP1R12B","protein phosphatase 1 regulatory subunit 12B","1"
"KANTR","102723508","KANTR","KDM5C adjacent transcript","1"
"ACTG1","71","ACTG1","actin gamma 1","1"
"FITM2","128486","FITM2","fat storage inducing transmembrane protein 2","1"
"ZFYVE28","57732","ZFYVE28","zinc finger FYVE-type containing 28","1"
"STUB1","10273","STUB1","STIP1 homology and U-box containing protein 1","1"
"NORAD","647979","NORAD","non-coding RNA activated by DNA damage","1"
"TMSB10","9168","TMSB10","thymosin beta 10","1"
"PDE10A","10846","PDE10A","phosphodiesterase 10A","1"
"FAM168A","23201","FAM168A","family with sequence similarity 168 member A","1"
"FAM89B","23625","FAM89B","family with sequence similarity 89 member B","1"
"AUTS2","26053","AUTS2","activator of transcription and developmental regulator AUTS2","1"
"RPL10","6134","RPL10","ribosomal protein L10","1"
"TINF2","26277","TINF2","TERF1 interacting nuclear factor 2","1"
"CLCN4","1183","CLCN4","chloride voltage-gated channel 4","1"
"SERINC3","10955","SERINC3","serine incorporator 3","1"
"CD81","975","CD81","CD81 molecule","1"
"HMGN4","10473","HMGN4","high mobility group nucleosomal binding domain 4","1"
"SEC62","7095","SEC62","""SEC62 homolog, preprotein translocation factor""","1"
"STXBP5L","9515","STXBP5L","syntaxin binding protein 5 like","1"
"FLNB","2317","FLNB","filamin B","1"
"SLC16A10","117247","SLC16A10","solute carrier family 16 member 10","1"
"SLC22A23","63027","SLC22A23","solute carrier family 22 member 23","1"
"OMG","4974","OMG","oligodendrocyte myelin glycoprotein","1"
"RPS25","6230","RPS25","ribosomal protein S25","1"
"HAX1","10456","HAX1","HCLS1 associated protein X-1","1"
"CRADD","8738","CRADD","CASP2 and RIPK1 domain containing adaptor with death domain","1"
"NELFA","7469","NELFA","negative elongation factor complex member A","1"
"SELENOT","51714","SELENOT","selenoprotein T","1"
"TTC9B","148014","TTC9B","tetratricopeptide repeat domain 9B","1"
"FAM174C","55009","FAM174C","family with sequence similarity 174 member C","1"
"KCNB2","9312","KCNB2","potassium voltage-gated channel subfamily B member 2","1"
"ATP6V1G2","534","ATP6V1G2","ATPase H+ transporting V1 subunit G2","1"
"CTNND2","1501","CTNND2","catenin delta 2","1"
"ATP6V1E1","529","ATP6V1E1","ATPase H+ transporting V1 subunit E1","1"
"MRPS17","51373","MRPS17","mitochondrial ribosomal protein S17","1"
"COX7C","1350","COX7C","cytochrome c oxidase subunit 7C","1"
"WNK2","65268","WNK2","WNK lysine deficient protein kinase 2","1"
"UBE2S","27338","UBE2S","ubiquitin conjugating enzyme E2 S","1"
"DIPK1A","388650","DIPK1A","divergent protein kinase domain 1A","1"
"MCF2L2","23101","MCF2L2","MCF.2 cell line derived transforming sequence-like 2","1"
"KAT5","10524","KAT5","lysine acetyltransferase 5","1"
"EEF1G","1937","EEF1G","eukaryotic translation elongation factor 1 gamma","1"
"KBTBD11","9920","KBTBD11","kelch repeat and BTB domain containing 11","1"
"RBFOX1","54715","RBFOX1","RNA binding fox-1 homolog 1","1"
"RPS23","6228","RPS23","ribosomal protein S23","1"
"B4GAT1","11041","B4GAT1","""beta-1,4-glucuronyltransferase 1""","1"
"ZNF846","162993","ZNF846","zinc finger protein 846","1"
"RAB5IF","55969","RAB5IF","RAB5 interacting factor","1"
"ATP1A1","476","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","1"
"TMX4","56255","TMX4","thioredoxin related transmembrane protein 4","1"
