"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Tyrosine metabolism",88,17.023,10,0.98538,0.0063979,1,1,0.77011
"Drug metabolism - cytochrome P450",98,18.957,10,0.99584,0.0018109,1,1,0.14433
"Glycosphingolipid biosynthesis - lacto and neolacto series",121,23.407,13,0.9969,0.0013483,1,1,0.46667
"Steroid biosynthesis",82,15.862,7,0.99815,0.00080205,1,1,0.64198
"Porphyrin and chlorophyll metabolism",53,10.252,3,0.99904,0.00041563,1,1,0.15385
"Biosynthesis of unsaturated fatty acids",47,9.0918,2,0.99954,0.00020012,1,1,0.47826
"Fatty acid degradation",102,19.731,8,0.99972,0.0001231,1,1,0.65347
"Metabolism of xenobiotics by cytochrome P450",145,28.049,12,0.99996,1.895e-05,1,1,0.36111
"Primary bile acid biosynthesis",92,17.797,5,0.99998,9.7071e-06,1,1,0.37363
"Steroid hormone biosynthesis",199,38.495,10,1,1.2253e-10,1,1,0.19192
"Fatty acid biosynthesis",129,24.954,6,1,5.9172e-08,1,1,1.2344
