"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"salicylate","Salicyluric acid","HMDB0000840","10253","C07588","OC(=O)CNC(=O)C1=C(O)C=CC=C1","1"
"gamma-Aminobutyric acid","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"N-Acetyl-D-glucosamine","N-Acetyl-D-glucosamine","HMDB0000215","439174","C00140","CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"N-acetylmethionine","N-Acetyl-L-methionine","HMDB0011745","448580","C02712","CSCC[C@H](NC(C)=O)C(O)=O","1"
"3-hydroxylaurate","3-Hydroxydodecanoic acid","HMDB0000387","5312805",NA,"CCCCCCCCC[C@H](O)CC(O)=O","1"
"arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"1-methyl-4-imidazoleacetate","Methylimidazoleacetic acid","HMDB0002820","75810","C05828","CN1C=NC(CC(O)=O)=C1","1"
"Arachidyl carnitine","Arachidyl carnitine","HMDB0006460","53477833",NA,"CCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Tiglylcarnitine","Tiglylcarnitine","HMDB0002366","91825636",NA,"C\C=C(/C)C(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"ophthalmate","Ophthalmic acid","HMDB0005765","7018721","C21016","CC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O","1"
"Oleoylcarnitine","Oleoylcarnitine","HMDB0005065","46907933",NA,"CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Palmitoylcarnitine","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Docosanoylcarnitine","Docosanoylcarnitine","HMDB0062468","71464577",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"S-Adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","C00021","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"spermine","Spermine","HMDB0001256","1103","C00750","NCCCNCCCCNCCCN","1"
"sulfate","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
"9-Hexadecenoylcarnitine","9-Hexadecenoylcarnitine","HMDB0013207","53481653",NA,"CCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"N-formylmethionine","N-Formyl-L-methionine","HMDB0001015","439750","C03145","CSCC[C@H](NC=O)C(O)=O","1"
"threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"proline","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"2-Methylbutyroylcarnitine","2-Methylbutyroylcarnitine","HMDB0000378","6426901",NA,"CCC(C)C(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"L-Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"urate","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"Myristoleoylcarnitine","Myristoleoylcarnitine","HMDB0240588","90659872",NA,"CCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Dodecanoylcarnitine","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"(S)-3-hydroxybutyrylcarnitine","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C","1"
"Linoleyl carnitine","Linoleyl carnitine","HMDB0006469","6450015",NA,"CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"2-Methylguanosine","2-Methylguanosine","HMDB0005862","3035422",NA,"CNC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"dehydroascorbate","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"AMP","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"phenylalanylglycine","Phenylalanylglycine","HMDB0028995","6992303",NA,"N[C@@H](CC1=CC=CC=C1)C(=O)NCC(O)=O","1"
"Methylmalonic acid","Methylmalonic acid","HMDB0000202","487","C02170","CC(C(O)=O)C(O)=O","1"
"N6-carbamoylthreonyladenosine","N6-Carbamoyl-L-threonyladenosine","HMDB0041623","92021849",NA,"C[C@@H](O)[C@H](NC(N)=O)C(=O)NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"nicotinamide riboside","Nicotinamide riboside","HMDB0000855","439924","C03150","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"5'-Methylthioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","C00170","CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"pseudouridine","Pseudouridine","HMDB0000767","15047","C02067","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","1"
"N-carbamoylglutamate","Carglumic acid","HMDB0015673","121396","C05829","NC(=O)N[C@@H](CCC(O)=O)C(O)=O","1"
"5,6-dihydrouridine","5,6-Dihydrouridine","HMDB0000497","94312",NA,"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CCC(=O)NC1=O","1"
"PI(16:0/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"Propionylcarnitine","Propionylcarnitine","HMDB0000824","188824","C03017","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"N-acetylvaline","N-Acetylvaline","HMDB0011757","66789",NA,"CC(C)[C@H](NC(C)=O)C(O)=O","1"
"1-methylhistidine","1-Methylhistidine","HMDB0000001","92105","C01152","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"3-hydroxypalmitoylcarnitine","3-Hydroxyhexadecanoylcarnitine","HMDB0013336","126456228",NA,"CCCCCCCCCCCCCC(O)CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"UDP-glucose","Uridine diphosphate glucose","HMDB0000286","8629","C00029","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","HMDB0000755","9378","C03672","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"phenylacetylglutamine","Phenylacetylglutamine","HMDB0006344","92258","C04148","NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"N8-Acetylspermidine","N8-Acetylspermidine","HMDB0002189","123689","C01029","CC(=O)NCCCCNCCCN","1"
"glycylvaline","Glycylvaline","HMDB0028854","2724807",NA,"CC(C)[C@H](NC(=O)CN)C(O)=O","1"
"prolylglycine","Prolylglycine","HMDB0011178","6426709",NA,"OC(=O)CNC(=O)[C@@H]1CCCN1","1"
"lanthionine","Lanthionine","HMDB0240656","98504",NA,"N[C@@H](CSC[C@H](N)C(O)=O)C(O)=O","1"
"L-Targinine","L-Targinine","HMDB0029416","132862","C03884","CNC(=N)NCCC[C@H](N)C(O)=O","1"
"Homocitric acid","Homocitric acid","HMDB0003518","439459","C01251","OC(=O)CC[C@@](O)(CC(O)=O)C(O)=O","1"
"Mannitol","Mannitol","HMDB0000765","6251","C00392","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Butyrylcarnitine","Butyrylcarnitine","HMDB0002013","213144","C02862","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"3-Sulfinoalanine","3-Sulfinoalanine","HMDB0000996","1549098","C00606","N[C@@H](CS(O)=O)C(O)=O","1"
"Cysteineglutathione disulfide","Cysteineglutathione disulfide","HMDB0000656","53477713",NA,"N[C@@H](CCC(=O)N[C@@H](CSSCC(N)C(O)=O)C(=O)NCC(O)=O)C(O)=O","1"
"2'-AMP","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"alpha-tocopherol","alpha-Tocopherol","HMDB0001893","14985","C02477","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1","1"
"N1-methylinosine","1-Methylinosine","HMDB0002721","65095",NA,"CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O","1"
"Glutarylcarnitine","Glutarylcarnitine","HMDB0013130","53481699",NA,"C[N+](C)(C)C[C@@H](CC(O)=O)OC(=O)CCCC(O)=O","1"
"Isobutyryl-L-carnitine","Isobutyryl-L-carnitine","HMDB0000736","168379",NA,"CC(C)C(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"D-Sedoheptulose 7-phosphate","D-Sedoheptulose 7-phosphate","HMDB0001068","92042786","C05382","OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"3-aminoisobutyrate","3-Aminoisobutanoic acid","HMDB0003911","64956","C05145","CC(CN)C(O)=O","1"
"creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)NC1=N","1"
"gulonate","Gulonic acid","HMDB0003290","152304","C00800","OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"ADP-glucose","ADP-glucose","HMDB0006557","16500","C00498","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"lysine","Lysine","HMDB0000182","5962","C00047","NCCCC[C@H](N)C(O)=O","1"
"N6-acetyllysine","Indoleacetic acid","HMDB0000197","802","C00954","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"pyridoxamine","Pyridoxamine","HMDB0001431","1052","C00534","CC1=C(O)C(CN)=C(CO)C=N1","1"
"N2,N2-dimethylguanosine","N2,N2-Dimethylguanosine","HMDB0004824","92919",NA,"CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"nicotinamide","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"isoleucylglycine","Isoleucyl-Glycine","HMDB0028907","342532",NA,"CCC(C)C(N)C(=O)NCC(O)=O","1"
"acetyl-CoA","Acetyl-CoA","HMDB0001206","444493","C00024","CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"2'-deoxycytidine","Deoxycytidine","HMDB0000014","13711","C00881","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"o-Tyrosine","o-Tyrosine","HMDB0006050","91482",NA,"NC(CC1=CC=CC=C1O)C(O)=O","1"
"beta-hydroxyisovalerate","3-Hydroxyisovaleric acid","HMDB0000754","69362","C20827","CC(C)(O)CC(O)=O","1"
"carnitine","L-Carnitine","HMDB0000062","10917","C00487","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"glycerate","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"arabinose","L-Arabinose","HMDB0000646","439764","C00259","O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O","1"
"tyrosylglycine","Tyrosylglycine","HMDB0029105","7021853",NA,"N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(O)=O","1"
"homoarginine","Homo-L-arginine","HMDB0000670","9085","C01924","N[C@@H](CCCCNC(N)=N)C(O)=O","1"
"CDP-ethanolamine","CDP-ethanolamine","HMDB0001564","123727","C00570","NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"1-methyladenosine","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"adenine","Adenine","HMDB0000034","190","C00147","NC1=C2NC=NC2=NC=N1","1"
"CDP-choline","Citicoline","HMDB0001413","13805","C00307","C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"N1-Methyl-2-pyridone-5-carboxamide","Nudifloramide","HMDB0004193","69698","C05842","CN1C=C(C=CC1=O)C(N)=O","1"
"argininate","Argininic acid","HMDB0003148","160437",NA,"NC(=N)NCCC[C@H](O)C(O)=O","1"
"alpha-D-Glucose 1,6-bisphosphate","alpha-D-Glucose 1,6-bisphosphate","HMDB0003514","82400","C01231","O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O","1"
"glycerophosphoethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","C01233","NCCOP(O)(=O)OCC(O)CO","1"
"sphingosine","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"Glutaric acid","Glutaric acid","HMDB0000661","743","C00489","OC(=O)CCCC(O)=O","1"
"erythronate","Erythronic acid","HMDB0000613","2781043",NA,"OC[C@@H](O)[C@@H](O)C(O)=O","1"
"2'-deoxyuridine","Deoxyuridine","HMDB0000012","13712","C00526","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"allo-threonine","L-Allothreonine","HMDB0004041","99289","C05519","C[C@H](O)[C@H](N)C(O)=O","1"
"N-acetyl-glucosamine 1-phosphate","N-Acetyl-glucosamine 1-phosphate","HMDB0001367","440272","C04501","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O","1"
"guanosine 5'-diphospho-fucose","GDP-L-fucose","HMDB0001095","439211","C00325","C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"leucylglycine","Glycylleucine","HMDB0000759","92843","C02155","CC(C)C[C@H](NC(=O)CN)C(O)=O","1"
"N-acetylhistidine","N-Acetylhistidine","HMDB0032055","75619","C02997","CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"Thiamine","Thiamine","HMDB0000235","1130","C00378","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","1"
"Arachidonoylcarnitine","Arachidonoylcarnitine","HMDB0006455","136212424",NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"N-acetylalanine","N-Acetyl-L-alanine","HMDB0000766","88064",NA,"C[C@H](NC(C)=O)C(O)=O","1"
"fructose 6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"glucosamine-6-phosphate","Glucosamine 6-phosphate","HMDB0001254","439217","C00352","N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"N-acetylglycine","Acetylglycine","HMDB0000532","10972",NA,"CC(=O)NCC(O)=O","1"
"Symmetric dimethylarginine","Symmetric dimethylarginine","HMDB0003334","169148",NA,"CN\C(NCCC[C@H](N)C(O)=O)=N/C","1"
"threonate","Threonic acid","HMDB0000943","5460407","C01620","OC[C@H](O)[C@@H](O)C(O)=O","1"
"3-hydroxydecanoate","3-Hydroxycapric acid","HMDB0002203","5312799",NA,"CCCCCCC[C@H](O)CC(O)=O","1"
"N-formylanthranilic acid","Formylanthranilic acid","HMDB0004089","101399","C05653","OC(=O)C1=CC=CC=C1NC=O","1"
"O-sulfo-L-tyrosine","O-Sulfotyrosine","HMDB0155722","514186",NA,"N[C@@H](CC1=CC=C(OS(O)(=O)=O)C=C1)C(O)=O","1"
"2-aminoadipate","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"Guanosine 2'-monophosphate","Guanosine 2'-monophosphate","HMDB0240586","444571",NA,"NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(O)(O)=O)C(=O)N1","1"
"3-Hydroxyhexanoylcarnitine","3-Hydroxyhexanoylcarnitine","HMDB0013131","53481624",NA,"CCC[C@H](O)CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"4-guanidinobutanoate","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","NC(=N)NCCCC(O)=O","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"3-hydroxyindolin-2-one","3-Hydroxy-2-oxoindole","HMDB0240741","6097","C11130","OC1C(=O)NC2=CC=CC=C12","1"
"Goshuyic acid","Goshuyic acid","HMDB0000560","5312409",NA,"CCCCC\C=C/C\C=C/CCCC(O)=O","1"
"N-acetyl-beta-alanine","N-Acetyl-beta-alanine","HMDB0061880","76406","C01073","CC(=O)NCCC(O)=O","1"
"fructose","D-Fructose","HMDB0000660","439709","C00095","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"methylsuccinate","Methylsuccinic acid","HMDB0001844","6950476","C08645","C[C@@H](CC(O)=O)C(O)=O","1"
"2'-deoxyinosine","Deoxyinosine","HMDB0000071","65058","C05512","OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"3-hydroxyhexanoate","(R)-3-Hydroxyhexanoic acid","HMDB0010718","10197713",NA,"CCC[C@@H](O)CC(O)=O","1"
"thioproline","Thioproline","HMDB0062164","93176",NA,"OC(=O)[C@@H]1CSCN1","1"
"sucrose","Sucrose","HMDB0000258","5988","C00089","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"carnosine","Carnosine","HMDB0000033","439224","C00386","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Adenosine diphosphate ribose","Adenosine diphosphate ribose","HMDB0001178","192","C00301","NC1=C2N=CN(C3OC(COP(O)(=O)OP(O)(=O)OCC4OC(O)C(O)C4O)C(O)C3O)C2=NC=N1","1"
"trans-2-Dodecenoylcarnitine","trans-2-Dodecenoylcarnitine","HMDB0013326","53481671",NA,"CCCCCCCCC\C=C\C(=O)O[C@@H](CCC([O-])=O)[N+](C)(C)C","1"
"NADHX","NADHX","HMDB0059644","440516","C04856","NC(=O)C1=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=NC4=C(N)N=CN=C34)[C@@H](O)[C@H]2O)[C@@H](O)CC1","1"
"alanine","Alanine",NA,NA,"C01401",NA,"1"
"mannose 6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","C00275","O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"(R)-3-hydroxybutyrylcarnitine","(R)-3-hydroxybutyrylcarnitine","HMDB0062735","90659885",NA,"[H]C(C)(O)CC(=O)O[C@]([H])(CC([O-])=O)C[N+](C)(C)C","1"
"D-mannonate","D-Mannonate","METPA0052",NA,"C00514",NA,"1"
"3-Sulfodeoxycholic acid","3-Sulfodeoxycholic acid","HMDB0002504","10255824",NA,"[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)C1[C@@H](O)C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O","1"
"spermidine","Spermidine","HMDB0001257","1102","C00315","NCCCCNCCCN","1"
"3'-AMP","3'-AMP","HMDB0003540","41211","C01367","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1","1"
