NAME	TITLE	SCORE	
CNDP2	carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]	2.2183454	
VPS37D	VPS37D subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18287]	2.2117107	
RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]	2.195	
INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]	2.170699	
C22orf39	chromosome 22 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:27012]	2.1530066	
IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	2.1507642	
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	2.1332483	
MPND	MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]	2.1296604	
SCOC	short coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:20335]	2.110492	
OR6A2	olfactory receptor family 6 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15301]	2.093534	
RUVBL2	RuvB like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475]	2.0928996	
YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2.0875053	
SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	2.0804949	
PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]	2.0764043	
MAT2B	methionine adenosyltransferase 2 non-catalytic beta subunit [Source:HGNC Symbol;Acc:HGNC:6905]	2.075606	
CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290]	2.0729668	
PRSS48	serine protease 48 [Source:HGNC Symbol;Acc:HGNC:24635]	2.0597873	
C14orf132	chromosome 14 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:20346]	2.053087	
OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	2.051921	
SLU7	SLU7 homolog, splicing factor [Source:HGNC Symbol;Acc:HGNC:16939]	2.0500898	
ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	2.0451996	
SNX29	sorting nexin 29 [Source:HGNC Symbol;Acc:HGNC:30542]	2.0379226	
PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:8575]	2.0327914	
TSN	translin [Source:HGNC Symbol;Acc:HGNC:12379]	2.0304193	
C12orf76	chromosome 12 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:33790]	2.02178	
SRI	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	2.013497	
RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	2.0099401	
DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	2.0090733	
NAIF1	nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]	2.0039248	
EIF1AY	eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]	1.9970442	
PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	1.991827	
RTL8A	retrotransposon Gag like 8A [Source:HGNC Symbol;Acc:HGNC:24514]	1.9834799	
TGOLN2	trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]	1.9805968	
STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	1.9783937	
CCDC71L	coiled-coil domain containing 71 like [Source:HGNC Symbol;Acc:HGNC:26685]	1.9606081	
NUP93	nucleoporin 93 [Source:HGNC Symbol;Acc:HGNC:28958]	1.9505243	
MEF2D	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	1.9449486	
LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	1.9445927	
PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]	1.9418256	
CHST2	carbohydrate sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	1.9364972	
AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	1.924584	
PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	1.9240845	
SRPRA	SRP receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:11307]	1.9191462	
ENC1	ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]	1.9167405	
PNMA8A	PNMA family member 8A [Source:HGNC Symbol;Acc:HGNC:25578]	1.9157147	
SERINC1	serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]	1.9151963	
CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	1.9075382	
KPNB1	karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]	1.9075266	
ATG101	autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679]	1.9038153	
CCSAP	centriole, cilia and spindle associated protein [Source:HGNC Symbol;Acc:HGNC:29578]	1.9033759	
CABLES2	Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:HGNC:16143]	1.8979307	
ATP6V1G1	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	1.8963898	
SLC41A1	solute carrier family 41 member 1 [Source:HGNC Symbol;Acc:HGNC:19429]	1.8942418	
PDIK1L	PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981]	1.8910714	
PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K [Source:HGNC Symbol;Acc:HGNC:25415]	1.8881013	
ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	1.8728098	
DERA	deoxyribose-phosphate aldolase [Source:HGNC Symbol;Acc:HGNC:24269]	1.8692673	
CCDC47	coiled-coil domain containing 47 [Source:HGNC Symbol;Acc:HGNC:24856]	1.8683789	
NAP1L5	nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]	1.8673539	
NEFL	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	1.8670603	
KLC1	kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387]	1.8661541	
SEPHS2	selenophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:19686]	1.8625604	
RRAGA	Ras related GTP binding A [Source:HGNC Symbol;Acc:HGNC:16963]	1.8615887	
C1orf115	chromosome 1 open reading frame 115 [Source:HGNC Symbol;Acc:HGNC:25873]	1.8606085	
NAPB	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]	1.8572718	
FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	1.8561008	
TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	1.8508449	
EPM2AIP1	EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]	1.840336	
ACAN	aggrecan [Source:HGNC Symbol;Acc:HGNC:319]	1.8331938	
RSL1D1	ribosomal L1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24534]	1.830013	
WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	1.8296784	
MAD2L1BP	MAD2L1 binding protein [Source:HGNC Symbol;Acc:HGNC:21059]	1.8286548	
VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	1.8282067	
SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	1.8264798	
CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	1.8248241	
DAXX	death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]	1.8175101	
DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	1.8068281	
SVIP	small VCP interacting protein [Source:HGNC Symbol;Acc:HGNC:25238]	1.803093	
MRPS2	mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495]	1.8017824	
GSPT2	G1 to S phase transition 2 [Source:HGNC Symbol;Acc:HGNC:4622]	1.7896878	
ALMS1	ALMS1 centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428]	1.7830031	
BRI3BP	BRI3 binding protein [Source:HGNC Symbol;Acc:HGNC:14251]	1.7824832	
MRPS36	mitochondrial ribosomal protein S36 [Source:HGNC Symbol;Acc:HGNC:16631]	1.7749351	
SPANXA2-OT1	SPANXA2 overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:31683]	1.774671	
EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	1.7713121	
NFU1	NFU1 iron-sulfur cluster scaffold [Source:HGNC Symbol;Acc:HGNC:16287]	1.7690428	
ZCCHC3	zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]	1.7608542	
FER1L5	fer-1 like family member 5 [Source:HGNC Symbol;Acc:HGNC:19044]	1.7564752	
MRPL35	mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]	1.7547779	
ARFIP2	ADP ribosylation factor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17160]	1.752525	
SLFNL1	schlafen like 1 [Source:HGNC Symbol;Acc:HGNC:26313]	1.7482729	
KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	1.738581	
PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	1.7333202	
PDE1C	phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]	1.7316009	
CCDC38	coiled-coil domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26843]	1.7283609	
SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	1.7281314	
KCNA4	potassium voltage-gated channel subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:6222]	1.7233655	
MAGEE1	MAGE family member E1 [Source:HGNC Symbol;Acc:HGNC:24934]	1.7208652	
PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	1.7175138	
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]	1.7138172	
CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	1.7135527	
GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	1.7130356	
GORASP1	golgi reassembly stacking protein 1 [Source:HGNC Symbol;Acc:HGNC:16769]	1.7121084	
MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	1.7068816	
HCG11	HLA complex group 11 [Source:HGNC Symbol;Acc:HGNC:17707]	1.6997892	
ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	1.6970598	
BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	1.6942687	
REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	1.6933054	
RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	1.6921346	
PLAC1	placenta enriched 1 [Source:HGNC Symbol;Acc:HGNC:9044]	1.6920646	
LMF1	lipase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:14154]	1.6910094	
YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	1.6832647	
ABHD8	abhydrolase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23759]	1.6783482	
TM2D3	TM2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24128]	1.6705829	
PNMA1	PNMA family member 1 [Source:HGNC Symbol;Acc:HGNC:9158]	1.6646425	
LIN7C	lin-7 homolog C, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17789]	1.6645892	
LCMT2	leucine carboxyl methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:17558]	1.6601337	
IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	1.6593214	
PRELP	proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]	1.6563927	
BAG4	BAG cochaperone 4 [Source:HGNC Symbol;Acc:HGNC:940]	1.6554116	
ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	1.6549678	
TMSB4X	thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881]	1.6540655	
ZNF26	zinc finger protein 26 [Source:HGNC Symbol;Acc:HGNC:13053]	1.6498471	
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1.6412021	
TOMM20	translocase of outer mitochondrial membrane 20 [Source:HGNC Symbol;Acc:HGNC:20947]	1.6386942	
RIMS3	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	1.6382805	
SUSD4	sushi domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25470]	1.6377286	
PHAX	phosphorylated adaptor for RNA export [Source:HGNC Symbol;Acc:HGNC:10241]	1.6377233	
GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	1.6318585	
CCT4	chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617]	1.6309214	
TMEM191B	transmembrane protein 191B [Source:HGNC Symbol;Acc:HGNC:33600]	1.6273913	
PIM2	Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]	1.625172	
SHISA4	shisa family member 4 [Source:HGNC Symbol;Acc:HGNC:27139]	1.6207948	
USP22	ubiquitin specific peptidase 22 [Source:HGNC Symbol;Acc:HGNC:12621]	1.6197971	
CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	1.6155099	
CD200	CD200 molecule [Source:HGNC Symbol;Acc:HGNC:7203]	1.6093841	
BEX4	brain expressed X-linked 4 [Source:HGNC Symbol;Acc:HGNC:25475]	1.6077148	
CDKL3	cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]	1.6061684	
L1CAM	L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]	1.605321	
SMCR5	Smith-Magenis syndrome chromosome region, candidate 5 [Source:HGNC Symbol;Acc:HGNC:17918]	1.6015302	
HPS6	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3 [Source:HGNC Symbol;Acc:HGNC:18817]	1.5983541	
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	1.597722	
TRIM23	tripartite motif containing 23 [Source:HGNC Symbol;Acc:HGNC:660]	1.5972091	
PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	1.5954068	
MGAT2	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7045]	1.5949405	
OTOGL	otogelin like [Source:HGNC Symbol;Acc:HGNC:26901]	1.5927064	
ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]	1.5916615	
OR2L5	olfactory receptor family 2 subfamily L member 5 [Source:HGNC Symbol;Acc:HGNC:15011]	1.5897299	
MON1B	MON1 homolog B, secretory trafficking associated [Source:HGNC Symbol;Acc:HGNC:25020]	1.5884902	
CCT7	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]	1.5881796	
TUBB8	tubulin beta 8 class VIII [Source:HGNC Symbol;Acc:HGNC:20773]	1.5866799	
GRK4	G protein-coupled receptor kinase 4 [Source:HGNC Symbol;Acc:HGNC:4543]	1.5834764	
ZNF770	zinc finger protein 770 [Source:HGNC Symbol;Acc:HGNC:26061]	1.5806427	
GEMIN6	gem nuclear organelle associated protein 6 [Source:HGNC Symbol;Acc:HGNC:20044]	1.5775912	
SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	1.5753144	
SLC6A6	solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052]	1.5752532	
YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	1.5739201	
MKKS	MKKS centrosomal shuttling protein [Source:HGNC Symbol;Acc:HGNC:7108]	1.5712745	
CREG2	cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272]	1.567788	
TSPYL5	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	1.5581919	
RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	1.5560836	
GLYATL2	glycine-N-acyltransferase like 2 [Source:HGNC Symbol;Acc:HGNC:24178]	1.555109	
RLIM	ring finger protein, LIM domain interacting [Source:HGNC Symbol;Acc:HGNC:13429]	1.5540375	
ZSCAN18	zinc finger and SCAN domain containing 18 [Source:HGNC Symbol;Acc:HGNC:21037]	1.5534061	
SLC39A3	solute carrier family 39 member 3 [Source:HGNC Symbol;Acc:HGNC:17128]	1.5500923	
ABCF1	ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]	1.5491812	
ABHD10	abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]	1.5471268	
CLSTN1	calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]	1.5432961	
ANKRD40	ankyrin repeat domain 40 [Source:HGNC Symbol;Acc:HGNC:28233]	1.5431483	
GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	1.5425116	
SAR1A	secretion associated Ras related GTPase 1A [Source:HGNC Symbol;Acc:HGNC:10534]	1.5407532	
ZDHHC23	zinc finger DHHC-type palmitoyltransferase 23 [Source:HGNC Symbol;Acc:HGNC:28654]	1.5386443	
TLL2	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]	1.5386039	
R3HCC1	R3H domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:27329]	1.5336815	
H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	1.5334678	
KBTBD6	kelch repeat and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:25340]	1.531619	
TMEM106C	transmembrane protein 106C [Source:HGNC Symbol;Acc:HGNC:28775]	1.5309167	
DNAJB5	DnaJ heat shock protein family (Hsp40) member B5 [Source:HGNC Symbol;Acc:HGNC:14887]	1.5307091	
ALG10	ALG10 alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23162]	1.5295601	
CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]	1.5277243	
FAAH2	fatty acid amide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:26440]	1.5269566	
CENATAC	centrosomal AT-AC splicing factor [Source:HGNC Symbol;Acc:HGNC:30460]	1.5259571	
SERF2	small EDRK-rich factor 2 [Source:HGNC Symbol;Acc:HGNC:10757]	1.5232737	
VSTM2A	V-set and transmembrane domain containing 2A [Source:HGNC Symbol;Acc:HGNC:28499]	1.5231493	
TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	1.5211467	
CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	1.5179447	
ZNF487	zinc finger protein 487 [Source:HGNC Symbol;Acc:HGNC:23488]	1.5173211	
RCOR2	REST corepressor 2 [Source:HGNC Symbol;Acc:HGNC:27455]	1.5137407	
VTI1B	vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]	1.5124524	
OAZ1	ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]	1.5121665	
TRIP4	thyroid hormone receptor interactor 4 [Source:HGNC Symbol;Acc:HGNC:12310]	1.5094494	
CENPBD1P	CENPB DNA-binding domain containing 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:28272]	1.5091598	
CCDC3	coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23813]	1.5090891	
FAM161B	FAM161 centrosomal protein B [Source:HGNC Symbol;Acc:HGNC:19854]	1.5065937	
CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	1.5062286	
FTSJ1	FtsJ RNA 2'-O-methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13254]	1.505899	
C16orf95	chromosome 16 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:40033]	1.5049452	
MAFIP	MAFF interacting protein [Source:HGNC Symbol;Acc:HGNC:31102]	1.4967495	
CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	1.4945667	
C11orf87	chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]	1.4934753	
WBP11	WW domain binding protein 11 [Source:HGNC Symbol;Acc:HGNC:16461]	1.4933139	
RBFOX3	RNA binding fox-1 homolog 3 [Source:HGNC Symbol;Acc:HGNC:27097]	1.4920753	
ATP6AP2	ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	1.4908359	
SPIN4	spindlin family member 4 [Source:HGNC Symbol;Acc:HGNC:27040]	1.4861792	
PNMA8C	PNMA family member 8C [Source:HGNC Symbol;Acc:HGNC:53427]	1.4861014	
HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	1.4824343	
NGRN	neugrin, neurite outgrowth associated [Source:HGNC Symbol;Acc:HGNC:18077]	1.4822342	
KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	1.48076	
SSRP1	structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]	1.4787891	
CATSPERB	cation channel sperm associated auxiliary subunit beta [Source:HGNC Symbol;Acc:HGNC:20500]	1.4774401	
ZDHHC20	zinc finger DHHC-type palmitoyltransferase 20 [Source:HGNC Symbol;Acc:HGNC:20749]	1.4766412	
SDF2	stromal cell derived factor 2 [Source:HGNC Symbol;Acc:HGNC:10675]	1.4761199	
STRAP	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	1.4753544	
POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	1.4747534	
SUB1	SUB1 regulator of transcription [Source:HGNC Symbol;Acc:HGNC:19985]	1.472955	
AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	1.4705983	
MISFA	mitochondrial sheath formation associated [Source:HGNC Symbol;Acc:HGNC:44122]	1.4672307	
RRN3	RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]	1.4665661	
SPRYD7	SPRY domain containing 7 [Source:HGNC Symbol;Acc:HGNC:14297]	1.4664372	
