"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Valine, leucine and isoleucine degradation",88,10.567,5,0.98617,0.00605,1,1,0.12644
"Metabolism of xenobiotics by cytochrome P450",145,17.412,10,0.98655,0.0058795,1,1,0.59722
"Fatty acid degradation",102,12.248,6,0.9885,0.0050246,1,1,0.18812
"Selenocompound metabolism",35,4.2029,1,0.98901,0.004798,1,1,0.058824
"Fatty acid elongation",75,9.0061,3,0.99612,0.0016897,1,1,0.067568
"Biosynthesis of unsaturated fatty acids",47,5.6439,1,0.9977,0.001001,1,1,0.47826
"Steroid biosynthesis",82,9.8467,2,0.99971,0.00012614,1,1,0.39506
"Primary bile acid biosynthesis",92,11.048,2,0.99991,3.7287e-05,1,1,0.17582
"Steroid hormone biosynthesis",199,23.896,9,0.99995,2.0093e-05,1,1,0.43434
"Fatty acid biosynthesis",129,15.491,3,0.99999,3.5302e-06,1,1,0.10938
