"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Propanoate metabolism",48,5.9607,9,0.1324,0.87811,1,0.44486,0.93617
"Phenylalanine, tyrosine and tryptophan biosynthesis",11,1.366,3,0.14712,0.83233,1,0.46946,2
"Linoleic acid metabolism",17,2.1111,4,0.1509,0.82131,1,0.46946,0.875
"Ascorbate and aldarate metabolism",13,1.6143,3,0.21266,0.67232,1,0.63797,0.58333
"Riboflavin metabolism",9,1.1176,2,0.30988,0.50881,1,0.89758,0.5
"Glycosphingolipid biosynthesis - globo and isoglobo series",31,3.8496,5,0.33913,0.46963,1,0.93753,1.0667
"Synthesis and degradation of ketone bodies",10,1.2418,2,0.35803,0.44609,1,0.93753,0.77778
"Histidine metabolism",32,3.9738,5,0.36519,0.43748,1,0.93753,0.32258
"Drug metabolism - other enzymes",70,8.6926,10,0.36831,0.43378,1,0.93753,0.15942
"Nicotinate and nicotinamide metabolism",42,5.2156,6,0.42429,0.37234,1,0.99704,0.5122
"Citrate cycle (TCA cycle)",42,5.2156,6,0.42429,0.37234,1,0.99704,0.85366
"Arginine biosynthesis",27,3.3529,4,0.43663,0.35989,1,0.99704,0.34615
"Phosphatidylinositol signaling system",74,9.1893,10,0.43917,0.35736,1,0.99704,0.38356
"Pyrimidine metabolism",99,12.294,13,0.46015,0.3371,1,1,0.80612
"Glycine, serine and threonine metabolism",68,8.4443,9,0.47389,0.32432,1,1,0.43284
"Vitamin B6 metabolism",21,2.6078,3,0.49417,0.30612,1,1,1.1
"Mucin type O-glycan biosynthesis",22,2.732,3,0.5267,0.27843,1,1,0.33333
"Thiamine metabolism",14,1.7385,2,0.53419,0.27231,1,1,0.38462
"Ether lipid metabolism",39,4.843,5,0.54282,0.26534,1,1,0.26316
"D-Arginine and D-ornithine metabolism",6,0.74508,1,0.54907,0.26037,1,1,0.8
"Glyoxylate and dicarboxylate metabolism",56,6.9541,7,0.55453,0.25607,1,1,0.29091
"Arachidonic acid metabolism",81,10.059,10,0.5603,0.25158,1,1,0.55
"Tryptophan metabolism",84,10.431,10,0.60904,0.21535,1,1,0.37349
"Pantothenate and CoA biosynthesis",34,4.2221,4,0.62518,0.204,1,1,0.30303
"Inositol phosphate metabolism",69,8.5684,8,0.63945,0.19419,1,1,0.25
"Alanine, aspartate and glutamate metabolism",61,7.575,7,0.64883,0.18787,1,1,0.33333
"Valine, leucine and isoleucine degradation",88,10.928,10,0.66967,0.17414,1,1,0.50575
"Terpenoid backbone biosynthesis",36,4.4705,4,0.67117,0.17317,1,1,0.4
"Sulfur metabolism",18,2.2352,2,0.67448,0.17103,1,1,0.41176
"Caffeine metabolism",19,2.3594,2,0.70371,0.15261,1,1,0.55556
"D-Glutamine and D-glutamate metabolism",10,1.2418,1,0.73515,0.13363,1,1,0.11111
"Pentose and glucuronate interconversions",32,3.9738,3,0.77911,0.1084,1,1,0.35484
"Tyrosine metabolism",88,10.928,9,0.78389,0.10575,1,1,0.70115
"Drug metabolism - cytochrome P450",98,12.17,10,0.795,0.099633,1,1,0.48454
"Lipoic acid metabolism",15,1.8627,1,0.86399,0.063489,1,1,0.14286
"Sphingolipid metabolism",58,7.2025,5,0.86507,0.062949,1,1,0.33333
"Ubiquinone and other terpenoid-quinone biosynthesis",17,2.1111,1,0.89586,0.047758,1,1,0.0625
"Porphyrin and chlorophyll metabolism",53,6.5816,4,0.91104,0.040463,1,1,0.19231
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",31,3.8496,2,0.91289,0.03958,1,1,0.23333
"Metabolism of xenobiotics by cytochrome P450",145,18.006,13,0.92874,0.032108,1,1,0.61111
"N-Glycan biosynthesis",77,9.5619,6,0.93104,0.03103,1,1,0.17105
"alpha-Linolenic acid metabolism",22,2.732,1,0.94663,0.023817,1,1,0.095238
"Various types of N-glycan biosynthesis",36,4.4705,2,0.94959,0.022463,1,1,0.17143
"Folate biosynthesis",61,7.575,4,0.95613,0.019482,1,1,0.2
"Fatty acid elongation",75,9.3135,5,0.96598,0.015032,1,1,0.18919
"Mannose type O-glycan biosynthesis",30,3.7254,1,0.98175,0.008001,1,1,0.068966
"One carbon pool by folate",31,3.8496,1,0.98404,0.006987,1,1,0.066667
"Glycosphingolipid biosynthesis - lacto and neolacto series",121,15.026,8,0.98871,0.0049305,1,1,0.38333
"Selenocompound metabolism",35,4.3463,1,0.99068,0.0040659,1,1,0.058824
"Fatty acid degradation",102,12.666,6,0.99157,0.0036764,1,1,0.35644
"Steroid biosynthesis",82,10.183,4,0.99432,0.0024756,1,1,0.49383
"Glycosaminoglycan degradation",44,5.4639,1,0.99723,0.0012035,1,1,0.13953
"Glycosphingolipid biosynthesis - ganglio series",47,5.8365,1,0.99816,0.00080171,1,1,0.043478
"Biosynthesis of unsaturated fatty acids",47,5.8365,1,0.99816,0.00080171,1,1,0.47826
"Steroid hormone biosynthesis",199,24.712,10,0.99992,3.4495e-05,1,1,0.47475
"Primary bile acid biosynthesis",92,11.425,1,1,1.7036e-06,1,1,0.021978
"Fatty acid biosynthesis",129,16.019,3,1,2.041e-06,1,1,0.14062
