"",matched_features
Butanoate metabolism,cpd:C00024; cpd:C00334; hsa:3157; hsa:2571; hsa:142827; hsa:341392; hsa:54988; hsa:6296
Glycerophospholipid metabolism,cpd:C00350; cpd:C00307; cpd:C00670; cpd:C00570; cpd:C01233; hsa:84647; hsa:139189; hsa:1608; hsa:196051; hsa:64900; hsa:8613; hsa:10554; hsa:10423; hsa:162466; hsa:3931; hsa:375775; hsa:64850
Aminoacyl-tRNA biosynthesis,cpd:C00152; cpd:C00079; cpd:C00062; cpd:C00064; cpd:C00065; cpd:C00073; cpd:C00183; cpd:C00407; cpd:C00123; cpd:C00188; cpd:C00078; cpd:C00082; cpd:C00148; hsa:2193; hsa:25973
beta-Alanine metabolism,cpd:C00386; cpd:C00750; cpd:C00024; cpd:C00315; hsa:26275; hsa:2571; hsa:8639; hsa:219; hsa:220; hsa:1806
Galactose metabolism,cpd:C00089; cpd:C00052; cpd:C00029; cpd:C00446; cpd:C00095; cpd:C00794; hsa:5213; hsa:8972; hsa:93432; hsa:2645; hsa:80201
Cysteine and methionine metabolism,cpd:C00170; cpd:C00065; cpd:C00073; cpd:C00021; cpd:C00606; cpd:C21016; hsa:27430; hsa:191; hsa:23382; hsa:1788; hsa:2805; hsa:3939; hsa:3948; hsa:4191
"Valine, leucine and isoleucine biosynthesis",cpd:C00188; cpd:C00123; cpd:C00407; cpd:C00183
Amino sugar and nucleotide sugar metabolism,cpd:C04501; cpd:C00446; cpd:C00029; cpd:C00352; cpd:C00275; cpd:C00325; cpd:C00052; cpd:C05345; hsa:4351; hsa:5372; hsa:80201; hsa:2645; hsa:7264; hsa:80896; hsa:5973
Pentose phosphate pathway,cpd:C05382; cpd:C05345; cpd:C00258; hsa:5631; hsa:729020; hsa:226; hsa:229; hsa:230; hsa:5213; hsa:8789
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,hsa:55790; hsa:64131; hsa:11285; hsa:126792; hsa:29940
Lysine degradation,cpd:C00487; cpd:C00024; hsa:10157; hsa:8424; hsa:219; hsa:79823; hsa:150572; hsa:6839; hsa:79813; hsa:93166
"Neomycin, kanamycin and gentamicin biosynthesis",hsa:80201; hsa:2645
Pyruvate metabolism,cpd:C00024; hsa:5162; hsa:5315; hsa:4191; hsa:3939; hsa:3948; hsa:84532; hsa:219; hsa:32
Taurine and hypotaurine metabolism,cpd:C00606; hsa:2571; hsa:84890; hsa:2687
Propanoate metabolism,cpd:C00024; hsa:79611; hsa:84532; hsa:8801; hsa:26275; hsa:32; hsa:3939; hsa:3948; hsa:594
"Phenylalanine, tyrosine and tryptophan biosynthesis",cpd:C00079; cpd:C00082; hsa:2805
Linoleic acid metabolism,hsa:1557; hsa:1573; hsa:1576; hsa:84647
Ascorbate and aldarate metabolism,cpd:C00029; cpd:C00800; hsa:219
Riboflavin metabolism,hsa:55312; hsa:53
Glycosphingolipid biosynthesis - globo and isoglobo series,hsa:10317; hsa:53947; hsa:2523; hsa:2524; hsa:8706
Synthesis and degradation of ketone bodies,cpd:C00024; hsa:3157
Histidine metabolism,cpd:C00386; cpd:C01152; cpd:C05828; hsa:219; hsa:220
Drug metabolism - other enzymes,hsa:7498; hsa:151531; hsa:1806; hsa:1548; hsa:978; hsa:4830; hsa:4831; hsa:2938; hsa:2946; hsa:2949
Nicotinate and nicotinamide metabolism,cpd:C03150; cpd:C00153; cpd:C05842; hsa:952; hsa:115024; hsa:30833
Citrate cycle (TCA cycle),cpd:C00024; hsa:8801; hsa:3420; hsa:47; hsa:4191; hsa:5162
Arginine biosynthesis,cpd:C00062; cpd:C00064; cpd:C00086; hsa:2805
Phosphatidylinositol signaling system,cpd:C04006; hsa:5336; hsa:10423; hsa:139189; hsa:1608; hsa:79837; hsa:3707; hsa:3635; hsa:90809; hsa:117283
Pyrimidine metabolism,cpd:C00064; cpd:C01103; cpd:C00881; cpd:C00526; hsa:4830; hsa:4831; hsa:129607; hsa:115024; hsa:30833; hsa:151531; hsa:1806; hsa:978; hsa:79077
"Glycine, serine and threonine metabolism",cpd:C00065; cpd:C00719; cpd:C00188; cpd:C00258; hsa:29958; hsa:1610; hsa:8639; hsa:5223; hsa:669
Vitamin B6 metabolism,cpd:C00534; hsa:55163; hsa:57026
Mucin type O-glycan biosynthesis,hsa:9245; hsa:11227; hsa:79623
Thiamine metabolism,cpd:C00378; hsa:249
Ether lipid metabolism,cpd:C01233; cpd:C00670; hsa:79153; hsa:8613; hsa:84647
D-Arginine and D-ornithine metabolism,hsa:1610
Glyoxylate and dicarboxylate metabolism,cpd:C00024; cpd:C00065; cpd:C00258; cpd:C00064; hsa:4191; hsa:2653; hsa:84532
Arachidonic acid metabolism,hsa:1573; hsa:1579; hsa:2878; hsa:1557; hsa:84647; hsa:2687; hsa:80142; hsa:6916; hsa:27306; hsa:874
Tryptophan metabolism,cpd:C00078; cpd:C00328; cpd:C00024; hsa:1545; hsa:130013; hsa:23498; hsa:8942; hsa:8564; hsa:7166; hsa:219
Pantothenate and CoA biosynthesis,cpd:C00183; hsa:60490; hsa:1806; hsa:8875
Inositol phosphate metabolism,cpd:C04006; cpd:C00024; hsa:79837; hsa:3707; hsa:5336; hsa:7167; hsa:10423; hsa:3635
"Alanine, aspartate and glutamate metabolism",cpd:C00152; cpd:C00334; cpd:C00064; cpd:C00352; hsa:339983; hsa:2805; hsa:2571
"Valine, leucine and isoleucine degradation",cpd:C00024; cpd:C00183; cpd:C00407; cpd:C03284; cpd:C00123; cpd:C02170; hsa:594; hsa:3157; hsa:219; hsa:26275
Terpenoid backbone biosynthesis,cpd:C00024; hsa:3157; hsa:3422; hsa:51449
Sulfur metabolism,cpd:C00059; hsa:58472
Caffeine metabolism,hsa:7498; hsa:1548
D-Glutamine and D-glutamate metabolism,cpd:C00064
Pentose and glucuronate interconversions,cpd:C00800; cpd:C00029; hsa:729020
Tyrosine metabolism,cpd:C00082; hsa:220; hsa:125; hsa:8639; hsa:7173; hsa:2805; hsa:4282; hsa:7299; hsa:7306
Drug metabolism - cytochrome P450,hsa:1576; hsa:2327; hsa:1557; hsa:27306; hsa:2938; hsa:2946; hsa:2949; hsa:125; hsa:220; hsa:1548
Lipoic acid metabolism,hsa:387787
Sphingolipid metabolism,cpd:C00319; cpd:C00065; hsa:8613; hsa:79603; hsa:4758
Ubiquinone and other terpenoid-quinone biosynthesis,cpd:C00082
Porphyrin and chlorophyll metabolism,hsa:1356; hsa:9843; hsa:3162; hsa:3052
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,cpd:C00350; hsa:284098
Metabolism of xenobiotics by cytochrome P450,hsa:1576; hsa:1545; hsa:27306; hsa:2938; hsa:2946; hsa:2949; hsa:220; hsa:125; hsa:2052; hsa:1548; hsa:3290; hsa:874; hsa:1577
N-Glycan biosynthesis,hsa:54344; hsa:8703; hsa:84620; hsa:4247; hsa:152586; hsa:22845
alpha-Linolenic acid metabolism,hsa:84647
Various types of N-glycan biosynthesis,hsa:8703; hsa:4247
Folate biosynthesis,hsa:6697; hsa:249; hsa:5092; hsa:7166
Fatty acid elongation,cpd:C00024; hsa:5538; hsa:401494; hsa:122970; hsa:284486
Mannose type O-glycan biosynthesis,hsa:11041
One carbon pool by folate,hsa:10840
Glycosphingolipid biosynthesis - lacto and neolacto series,hsa:8703; hsa:28; hsa:2523; hsa:2524; hsa:8708; hsa:10317; hsa:53947; hsa:8706
Selenocompound metabolism,hsa:22928
Fatty acid degradation,cpd:C00024; cpd:C02990; hsa:125; hsa:219; hsa:1579; hsa:23205
Steroid biosynthesis,cpd:C01164; hsa:1718; hsa:6307; hsa:1056
Glycosaminoglycan degradation,hsa:60495
Glycosphingolipid biosynthesis - ganglio series,hsa:256435
Biosynthesis of unsaturated fatty acids,hsa:122970
Steroid hormone biosynthesis,hsa:1583; hsa:3283; hsa:1551; hsa:1577; hsa:1576; hsa:3290; hsa:3291; hsa:79154; hsa:7923; hsa:1545
Primary bile acid biosynthesis,hsa:51302
Fatty acid biosynthesis,cpd:C00024; hsa:32; hsa:23205
