"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Deoxyuridine","Deoxyuridine","HMDB0000012","13712","C00526","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"3-Sulfinoalanine","3-Sulfinoalanine","HMDB0000996","1549098","C00606","N[C@@H](CS(O)=O)C(O)=O","1"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","C02727","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"N-Acetyl-glucosamine 1-phosphate","N-Acetyl-glucosamine 1-phosphate","HMDB0001367","440272","C04501","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O","1"
"CDP-ethanolamine","CDP-ethanolamine","HMDB0001564","123727","C00570","NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","1"
"Creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)NC1=N","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"myo-Inositol 1-phosphate","myo-Inositol 1-phosphate","HMDB0000213",NA,"C04006","O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O","1"
"N-Acetylhistidine","N-Acetylhistidine","HMDB0032055","75619","C02997","CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"N-Acetylvaline","N-Acetylvaline","HMDB0011757","66789",NA,"CC(C)[C@H](NC(C)=O)C(O)=O","1"
"Thiamine","Thiamine","HMDB0000235","1130","C00378","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","1"
"Acetyl-CoA","Acetyl-CoA","HMDB0001206","444493","C00024","CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","1"
"PC(16:1(9Z)/18:2(9Z,12Z))","NA","NA","NA","NA","NA","0"
"L-Allothreonine","L-Allothreonine","HMDB0004041","99289","C05519","C[C@H](O)[C@H](N)C(O)=O","1"
"Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate","HMDB0001058","10267","C00354","O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O","1"
"PE(16:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"D-Arabinose","D-Arabinose","HMDB0029942","444173","C00216","O[C@@H]1CO[C@@H](O)[C@@H](O)[C@@H]1O","1"
"SM(d18:1/22:0)","NA","NA","NA","NA","NA","0"
"D-Lysine","D-Lysine","HMDB0003405","57449","C00739","NCCCC[C@@H](N)C(O)=O","1"
"Arachidonoylcarnitine","Arachidonoylcarnitine","HMDB0006455","136212424",NA,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Gulonic acid","Gulonic acid","HMDB0003290","152304","C00800","OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O","1"
"Prolylglycine","Prolylglycine","HMDB0011178","6426709",NA,"OC(=O)CNC(=O)[C@@H]1CCCN1","1"
"PE(18:0/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","HMDB0000754","69362","C20827","CC(C)(O)CC(O)=O","1"
"Glucosamine 6-phosphate","Glucosamine 6-phosphate","HMDB0001254","439217","C00352","N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"N,N,N-Trimethyl-L-alanyl-L-proline betaine","NA","NA","NA","NA","NA","0"
"Guanosine 2'-monophosphate","Guanosine 2'-monophosphate","HMDB0240586","444571",NA,"NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(O)(O)=O)C(=O)N1","1"
"Symmetric dimethylarginine","Symmetric dimethylarginine","HMDB0003334","169148",NA,"CN\C(NCCC[C@H](N)C(O)=O)=N/C","1"
"4-Guanidinobutanoic acid","4-Guanidinobutanoic acid","HMDB0003464","500","C01035","NC(=N)NCCCC(O)=O","1"
"Mannose 6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","C00275","O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"D-Sedoheptulose 7-phosphate","D-Sedoheptulose 7-phosphate","HMDB0001068","92042786","C05382","OC[C@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"Uridine diphosphategalactose","Uridine diphosphategalactose","HMDB0000302","18068","C00052","OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O","1"
"Glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"Glutathionyl-CoA","NA","NA","NA","NA","NA","0"
"LysoPG(18:2(9Z,12Z)/0:0)","NA","NA","NA","NA","NA","0"
"Erythronic acid","Erythronic acid","HMDB0000613","2781043",NA,"OC[C@@H](O)[C@@H](O)C(O)=O","1"
"GDP-L-fucose","GDP-L-fucose","HMDB0001095","439211","C00325","C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"Glutaric acid","Glutaric acid","HMDB0000661","743","C00489","OC(=O)CCCC(O)=O","1"
"Orotidine","Orotidine","HMDB0000788","92751","C01103","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C(=O)NC(=O)C=C1C(O)=O","1"
"Acetylglycine","Acetylglycine","HMDB0000532","10972",NA,"CC(=O)NCC(O)=O","1"
"(R)-1-Methylpiperidine-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"Nudifloramide","Nudifloramide","HMDB0004193","69698","C05842","CN1C=C(C=CC1=O)C(N)=O","1"
"3-Hydroxycapric acid","3-Hydroxycapric acid","HMDB0002203","5312799",NA,"CCCCCCC[C@H](O)CC(O)=O","1"
"Spermidine","Spermidine","HMDB0001257","1102","C00315","NCCCCNCCCN","1"
"PE(16:0/16:0)","PE(16:0/16:0)","HMDB0008923","445468","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC","1"
"D-Fructose","D-Fructose","HMDB0000660","439709","C00095","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"Sphingosine","Sphingosine","HMDB0000252","5280335","C00319","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)CO","1"
"1-Methyladenosine","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"Sucrose","Sucrose","HMDB0000258","5988","C00089","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"Adenosine diphosphate ribose","Adenosine diphosphate ribose","HMDB0001178","192","C00301","NC1=C2N=CN(C3OC(COP(O)(=O)OP(O)(=O)OCC4OC(O)C(O)C4O)C(O)C3O)C2=NC=N1","1"
"5-(Galactosylhydroxy)-L-Lysine","NA","NA","NA","NA","NA","0"
"7-Dehydrocholesterol","7-Dehydrocholesterol","HMDB0000032","439423","C01164","[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"Carnosine","Carnosine","HMDB0000033","439224","C00386","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Goshuyic acid","Goshuyic acid","HMDB0000560","5312409",NA,"CCCCC\C=C/C\C=C/CCCC(O)=O","1"
"N-Acetyl-beta-alanine","N-Acetyl-beta-alanine","HMDB0061880","76406","C01073","CC(=O)NCCC(O)=O","1"
"PE(18:0/18:1(9Z))","NA","NA","NA","NA","NA","0"
"3-Hydroxybutyrylcarnitine","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C","1"
"Deoxyinosine","Deoxyinosine","HMDB0000071","65058","C05512","OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"gamma-Glutamyllysine","gamma-Glutamyllysine","HMDB0029154","65254",NA,"NCCCC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
"O-Sulfotyrosine","O-Sulfotyrosine","HMDB0155722","514186",NA,"N[C@@H](CC1=CC=C(OS(O)(=O)=O)C=C1)C(O)=O","1"
"Galactose 1-phosphate","Galactose 1-phosphate","HMDB0000645","123912","C00446","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O","1"
"PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008937","9546800","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"7-Methylguanine","7-Methylguanine","HMDB0000897","11361","C02242","CN1C=NC2=C1C(=O)N=C(N)N2","1"
"Myristoleic acid","Myristoleic acid","HMDB0002000","5281119","C08322","CCCC\C=C/CCCCCCCC(O)=O","1"
"Thioproline","Thioproline","HMDB0062164","93176",NA,"OC(=O)[C@@H]1CSCN1","1"
"NADHX","NADHX","HMDB0059644","440516","C04856","NC(=O)C1=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=NC4=C(N)N=CN=C34)[C@@H](O)[C@H]2O)[C@@H](O)CC1","1"
"Lignoceroylcarnitine","NA","NA","NA","NA","NA","0"
"Threonic acid","Threonic acid","HMDB0000943","5460407","C01620","OC[C@H](O)[C@@H](O)C(O)=O","1"
"2-O-Methylascorbic acid","NA","NA","NA","NA","NA","0"
"Glycylleucine","Glycylleucine","HMDB0000759","92843","C02155","CC(C)C[C@H](NC(=O)CN)C(O)=O","1"
