"",matched_features
Ubiquinone and other terpenoid-quinone biosynthesis,cpd:C00082; hsa:79001; hsa:2677
"Valine, leucine and isoleucine degradation",cpd:C00183; cpd:C06001; cpd:C00407; cpd:C00123; hsa:593; hsa:594; hsa:3157; hsa:54511; hsa:549; hsa:1892; hsa:11112; hsa:27034; hsa:5095; hsa:219; hsa:4329; hsa:26275
D-Arginine and D-ornithine metabolism,hsa:1610
Pentose phosphate pathway,hsa:5631; hsa:7086; hsa:226; hsa:229; hsa:230; hsa:5211; hsa:5213; hsa:2539
Ascorbate and aldarate metabolism,cpd:C00029; hsa:219
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,hsa:2131
Glycosaminoglycan degradation,hsa:60495; hsa:3423; hsa:411; hsa:6448; hsa:3373; hsa:8372; hsa:8692
Glyoxylate and dicarboxylate metabolism,cpd:C00022; cpd:C00064; hsa:9380; hsa:4190; hsa:4191; hsa:5095; hsa:6472; hsa:2653; hsa:55902
Glycosphingolipid biosynthesis - ganglio series,hsa:6489; hsa:29906; hsa:8705; hsa:2583; hsa:30815; hsa:256435; hsa:81849
Tryptophan metabolism,cpd:C00078; cpd:C00328; cpd:C05653; hsa:6999; hsa:1545; hsa:1892; hsa:55526; hsa:64577; hsa:130013; hsa:23498; hsa:8564; hsa:883; hsa:219
"Alanine, aspartate and glutamate metabolism",cpd:C00152; cpd:C00334; cpd:C00064; cpd:C00022; hsa:339983; hsa:2805; hsa:2806; hsa:2875; hsa:1373
Glycosphingolipid biosynthesis - globo and isoglobo series,hsa:2523; hsa:2524; hsa:2717; hsa:8706
Selenocompound metabolism,hsa:22928; hsa:92935; hsa:883; hsa:9060
Vitamin B6 metabolism,hsa:55163; hsa:57026
Biotin metabolism,hsa:3141; hsa:686
Arachidonic acid metabolism,cpd:C00219; hsa:2878; hsa:239; hsa:5743; hsa:8398; hsa:10728; hsa:80142; hsa:9536; hsa:873; hsa:874; hsa:127281
alpha-Linolenic acid metabolism,hsa:8310; hsa:8398
One carbon pool by folate,hsa:10841; hsa:10840; hsa:6472
Pentose and glucuronate interconversions,cpd:C00029; hsa:729920; hsa:51181
Biosynthesis of unsaturated fatty acids,cpd:C00219; cpd:C06429; cpd:C06428; hsa:10965; hsa:122970
Taurine and hypotaurine metabolism,hsa:84890
Linoleic acid metabolism,hsa:8398
Tyrosine metabolism,cpd:C00082; cpd:C00022; hsa:220; hsa:128; hsa:314; hsa:7173; hsa:2805; hsa:2806; hsa:4282; hsa:7299
Fatty acid elongation,hsa:5538; hsa:1892; hsa:401494; hsa:10965; hsa:122970; hsa:54898; hsa:79071; hsa:79993
Steroid biosynthesis,hsa:6309; hsa:1717; hsa:1718; hsa:1595; hsa:4047; hsa:6307; hsa:1056; hsa:6713
Folate biosynthesis,hsa:5860; hsa:6697; hsa:4338; hsa:5092; hsa:873
Drug metabolism - cytochrome P450,hsa:2330; hsa:2947; hsa:2948; hsa:2950; hsa:4257; hsa:4258; hsa:9446; hsa:128; hsa:220
Glycosphingolipid biosynthesis - lacto and neolacto series,hsa:8703; hsa:8704; hsa:28; hsa:10402; hsa:2523; hsa:2524; hsa:10678; hsa:6489; hsa:79369; hsa:84002; hsa:8708; hsa:8706
Porphyrin and chlorophyll metabolism,hsa:1352; hsa:7389; hsa:3052
Fatty acid degradation,cpd:C02990; hsa:8310; hsa:1892; hsa:128; hsa:219; hsa:2181; hsa:51703; hsa:1375; hsa:1376
Metabolism of xenobiotics by cytochrome P450,hsa:1545; hsa:2947; hsa:2948; hsa:4257; hsa:4258; hsa:9446; hsa:220; hsa:128; hsa:2950; hsa:3290; hsa:873; hsa:874; hsa:1577
Steroid hormone biosynthesis,cpd:C00735; hsa:1551; hsa:1577; hsa:3290; hsa:3291; hsa:3292; hsa:79154; hsa:1545
Primary bile acid biosynthesis,hsa:10858; hsa:1593; hsa:51302
Fatty acid biosynthesis,hsa:2194; hsa:27349; hsa:31; hsa:32; hsa:2181; hsa:51703
