NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	19	0.60546726	1.3285681	0.05295418	0.42463186	0.9996	2106	tags=74%, list=32%, signal=109%	
KEGG_PHENYLALANINE_METABOLISM	KEGG_PHENYLALANINE_METABOLISM		8	0.67950535	1.324447	0.08996242	0.42131332	0.9996	591	tags=38%, list=9%, signal=41%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		19	0.5943321	1.3025191	0.07041545	0.49664047	1.0	2009	tags=58%, list=31%, signal=83%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		12	0.62676704	1.2987934	0.09665847	0.4917054	1.0	1485	tags=50%, list=23%, signal=65%	
KEGG_NON_HOMOLOGOUS_END_JOINING	KEGG_NON_HOMOLOGOUS_END_JOINING		5	0.72412634	1.290184	0.12720971	0.51033425	1.0	292	tags=20%, list=4%, signal=21%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		12	0.6192421	1.2859718	0.10956379	0.5090923	1.0	1287	tags=33%, list=20%, signal=41%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		25	0.5733044	1.2853281	0.060609095	0.49226913	1.0	2410	tags=76%, list=37%, signal=120%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME		56	0.53925383	1.2762485	0.0204	0.514301	1.0	1520	tags=48%, list=23%, signal=62%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		21	0.57418066	1.2662299	0.08720522	0.54146934	1.0	1880	tags=57%, list=29%, signal=80%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		9	0.6366305	1.26473	0.1396742	0.52971005	1.0	1242	tags=56%, list=19%, signal=69%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		23	0.5632636	1.2596835	0.086773545	0.5350584	1.0	1645	tags=52%, list=25%, signal=70%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		8	0.63872397	1.2479267	0.16306902	0.5730405	1.0	1924	tags=63%, list=30%, signal=89%	
KEGG_NOTCH_SIGNALING_PATHWAY	KEGG_NOTCH_SIGNALING_PATHWAY		14	0.58826625	1.2471006	0.13373335	0.5588562	1.0	557	tags=21%, list=9%, signal=23%	
KEGG_CIRCADIAN_RHYTHM_MAMMAL	KEGG_CIRCADIAN_RHYTHM_MAMMAL		5	0.6932302	1.2442477	0.17179753	0.5552753	1.0	155	tags=20%, list=2%, signal=20%	
KEGG_PEROXISOME	KEGG_PEROXISOME		27	0.55028164	1.2402548	0.08944472	0.55714613	1.0	1893	tags=48%, list=29%, signal=68%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES		7	0.6494663	1.2322294	0.18125476	0.5788264	1.0	31	tags=14%, list=0%, signal=14%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		10	0.60312945	1.2206244	0.17744455	0.6184214	1.0	2070	tags=70%, list=32%, signal=102%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		29	0.53642434	1.217648	0.1132453	0.61597997	1.0	2477	tags=69%, list=38%, signal=111%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		15	0.56892353	1.2151433	0.1669708	0.61206174	1.0	863	tags=27%, list=13%, signal=31%	
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM		11	0.58962286	1.2068762	0.19099845	0.63613206	1.0	940	tags=36%, list=14%, signal=42%	
KEGG_OTHER_GLYCAN_DEGRADATION	KEGG_OTHER_GLYCAN_DEGRADATION		6	0.64232224	1.1886488	0.23013394	0.71204066	1.0	753	tags=33%, list=12%, signal=38%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		51	0.49972835	1.1803037	0.101	0.7381599	1.0	1620	tags=39%, list=25%, signal=52%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM		7	0.61695933	1.1770583	0.24611852	0.73771036	1.0	1219	tags=43%, list=19%, signal=53%	
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS		8	0.5924482	1.1579763	0.25979713	0.8260687	1.0	520	tags=25%, list=8%, signal=27%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450		17	0.53474575	1.1571872	0.2306141	0.8117655	1.0	880	tags=24%, list=13%, signal=27%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM		6	0.61653125	1.1441679	0.2885622	0.8668673	1.0	944	tags=33%, list=14%, signal=39%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		15	0.5320763	1.1385983	0.27556187	0.8799152	1.0	863	tags=20%, list=13%, signal=23%	
KEGG_TYPE_I_DIABETES_MELLITUS	KEGG_TYPE_I_DIABETES_MELLITUS		11	0.55425286	1.1362431	0.28444812	0.8747004	1.0	932	tags=27%, list=14%, signal=32%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR		23	0.5068116	1.1274118	0.26124412	0.90665483	1.0	1642	tags=43%, list=25%, signal=58%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR		18	0.5167426	1.1249832	0.27681625	0.9019214	1.0	1969	tags=50%, list=30%, signal=71%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS		77	0.46412683	1.1195107	0.1614	0.9148717	1.0	2538	tags=52%, list=39%, signal=84%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE		15	0.522933	1.1165106	0.3028525	0.9137361	1.0	1818	tags=53%, list=28%, signal=74%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		10	0.54987246	1.1114907	0.32294056	0.9243677	1.0	2764	tags=90%, list=42%, signal=156%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY		30	0.4874555	1.1099873	0.276683	0.9150938	1.0	2160	tags=37%, list=33%, signal=55%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		14	0.52492553	1.1058098	0.3291692	0.92118984	1.0	1445	tags=36%, list=22%, signal=46%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION		12	0.5310879	1.0975938	0.34311813	0.9496841	1.0	1812	tags=50%, list=28%, signal=69%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		25	0.48554575	1.0924453	0.31494093	0.96046776	1.0	1144	tags=28%, list=18%, signal=34%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA		29	0.4789026	1.0914454	0.30872348	0.9490837	1.0	1414	tags=38%, list=22%, signal=48%	
KEGG_GLIOMA	KEGG_GLIOMA		27	0.4822937	1.0863332	0.3199159	0.9603462	1.0	2665	tags=59%, list=41%, signal=100%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION		29	0.47683397	1.0813993	0.32899868	0.9702235	1.0	1197	tags=28%, list=18%, signal=34%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		32	0.47230563	1.0798914	0.32663065	0.96190625	1.0	1896	tags=38%, list=29%, signal=53%	
KEGG_LYSOSOME	KEGG_LYSOSOME		51	0.45815924	1.079793	0.2884	0.9466771	1.0	1942	tags=45%, list=30%, signal=64%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		23	0.47919214	1.0705122	0.36129484	0.9790151	1.0	2220	tags=52%, list=34%, signal=79%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		53	0.45082748	1.0676507	0.3186	0.97849405	1.0	1924	tags=34%, list=30%, signal=48%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION		19	0.48661378	1.0636154	0.38328472	0.98375887	1.0	3111	tags=89%, list=48%, signal=171%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		28	0.4681207	1.0622983	0.37683916	0.9754265	1.0	1896	tags=36%, list=29%, signal=50%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		78	0.43691626	1.0546685	0.3308	0.9993766	1.0	1825	tags=33%, list=28%, signal=46%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		25	0.46846524	1.0535715	0.39144373	0.99001265	1.0	2551	tags=60%, list=39%, signal=98%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		13	0.4983011	1.0450988	0.42390195	1.0	1.0	1886	tags=38%, list=29%, signal=54%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA		34	0.45528072	1.0441116	0.39853984	1.0	1.0	2665	tags=56%, list=41%, signal=94%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		15	0.4888093	1.0430136	0.43201134	0.99899644	1.0	608	tags=13%, list=9%, signal=15%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		24	0.4642801	1.04032	0.42241812	0.9979722	1.0	1928	tags=38%, list=30%, signal=53%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		8	0.5299491	1.0363595	0.44137415	1.0	1.0	1648	tags=38%, list=25%, signal=50%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		31	0.45295802	1.0363077	0.42235342	0.98962915	1.0	2500	tags=58%, list=38%, signal=94%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY		30	0.45161125	1.0287662	0.44047618	1.0	1.0	1144	tags=20%, list=18%, signal=24%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		51	0.43368945	1.0260638	0.4315	1.0	1.0	3252	tags=69%, list=50%, signal=136%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		21	0.46149725	1.0206057	0.46683392	1.0	1.0	2518	tags=62%, list=39%, signal=101%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		13	0.4853052	1.0194935	0.4703964	1.0	1.0	2123	tags=31%, list=33%, signal=46%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION		23	0.4527615	1.0109497	0.47920632	1.0	1.0	1642	tags=39%, list=25%, signal=52%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS		11	0.487668	1.0024093	0.49994826	1.0	1.0	1597	tags=36%, list=24%, signal=48%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY		33	0.438328	1.0022471	0.5021511	1.0	1.0	3252	tags=70%, list=50%, signal=138%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS		45	0.42678466	0.99844587	0.5038	1.0	1.0	3216	tags=64%, list=49%, signal=126%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA		23	0.44657123	0.9972572	0.507515	1.0	1.0	2665	tags=57%, list=41%, signal=95%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		11	0.48310408	0.99560916	0.50767326	1.0	1.0	2501	tags=55%, list=38%, signal=88%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES		14	0.46908894	0.99328095	0.5112874	1.0	1.0	1256	tags=36%, list=19%, signal=44%	
KEGG_SULFUR_METABOLISM	KEGG_SULFUR_METABOLISM		6	0.5372518	0.9931513	0.5066845	1.0	1.0	2080	tags=67%, list=32%, signal=98%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER		33	0.4328985	0.99227816	0.5232046	1.0	1.0	2665	tags=58%, list=41%, signal=97%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY		50	0.4212424	0.9910784	0.5284	1.0	1.0	2947	tags=52%, list=45%, signal=94%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		27	0.43796322	0.9898645	0.5318191	1.0	1.0	2691	tags=63%, list=41%, signal=107%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS		31	0.4327585	0.9893099	0.5269527	0.995303	1.0	2163	tags=42%, list=33%, signal=62%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY		103	0.40494484	0.9891532	0.5433	0.98486066	1.0	2538	tags=43%, list=39%, signal=69%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY		48	0.4164215	0.9801403	0.5551	1.0	1.0	3183	tags=58%, list=49%, signal=113%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION		71	0.40701944	0.9775073	0.5779	1.0	1.0	2724	tags=45%, list=42%, signal=77%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION		12	0.47064766	0.97630984	0.5362974	1.0	1.0	2353	tags=42%, list=36%, signal=65%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		35	0.42223927	0.97502357	0.5634	0.9954547	1.0	2833	tags=49%, list=43%, signal=85%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		32	0.42483863	0.97282654	0.5716715	0.99294835	1.0	2665	tags=50%, list=41%, signal=84%	
KEGG_LONG_TERM_POTENTIATION	KEGG_LONG_TERM_POTENTIATION		28	0.42966303	0.97128254	0.56859803	0.9880208	1.0	3169	tags=61%, list=49%, signal=118%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		31	0.42610905	0.97068554	0.56965697	0.97998637	1.0	3055	tags=61%, list=47%, signal=115%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA		16	0.45232677	0.969735	0.5583905	0.97334266	1.0	821	tags=19%, list=13%, signal=21%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		56	0.40855622	0.96964324	0.5852	0.96380633	1.0	2529	tags=45%, list=39%, signal=72%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY		30	0.4246218	0.9673804	0.57933176	0.9619041	1.0	3204	tags=67%, list=49%, signal=130%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION		10	0.47553384	0.9628314	0.559375	0.96755856	1.0	1479	tags=30%, list=23%, signal=39%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER		27	0.42654195	0.9617033	0.5855684	0.9617682	1.0	3139	tags=63%, list=48%, signal=121%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		35	0.41562662	0.9601183	0.5945	0.9575426	1.0	2665	tags=49%, list=41%, signal=82%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY		18	0.44108537	0.96009135	0.58043087	0.94842654	1.0	3204	tags=78%, list=49%, signal=152%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		124	0.38734084	0.95506155	0.6773	0.9553964	1.0	2665	tags=44%, list=41%, signal=74%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		12	0.45865124	0.95236546	0.5807046	0.9550055	1.0	2278	tags=42%, list=35%, signal=64%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY		66	0.39728606	0.95207006	0.6498	0.9470144	1.0	3367	tags=64%, list=52%, signal=130%	
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		38	0.406378	0.94366604	0.6346	0.9638316	1.0	2724	tags=50%, list=42%, signal=85%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR		9	0.47060362	0.9348116	0.601428	0.9815481	1.0	1969	tags=56%, list=30%, signal=79%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE		11	0.4548442	0.93380576	0.61126006	0.9755908	1.0	2123	tags=45%, list=33%, signal=67%	
KEGG_VEGF_SIGNALING_PATHWAY	KEGG_VEGF_SIGNALING_PATHWAY		26	0.41265726	0.926318	0.65932304	0.9884247	1.0	2665	tags=46%, list=41%, signal=78%	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION		7	0.48494568	0.926313	0.6075894	0.97961193	1.0	2948	tags=71%, list=45%, signal=130%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		42	0.39555198	0.9230459	0.693	0.98019356	1.0	751	tags=17%, list=12%, signal=19%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION		6	0.4981314	0.9214243	0.61468095	0.9761659	1.0	2307	tags=67%, list=35%, signal=103%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		14	0.43164545	0.908977	0.6580527	1.0	1.0	2212	tags=36%, list=34%, signal=54%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		10	0.44775885	0.90661967	0.6470527	0.9983888	1.0	1624	tags=30%, list=25%, signal=40%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION		11	0.438937	0.9025216	0.6606424	1.0	1.0	160	tags=9%, list=2%, signal=9%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY		24	0.40129745	0.8951088	0.704987	1.0	1.0	965	tags=17%, list=15%, signal=19%	
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON		77	0.3703571	0.8947149	0.811	1.0	1.0	2724	tags=43%, list=42%, signal=73%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		46	0.38183844	0.8941056	0.7637	0.99608743	1.0	3142	tags=52%, list=48%, signal=100%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		25	0.3978361	0.8927489	0.7157157	0.99106777	1.0	1670	tags=24%, list=26%, signal=32%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY		13	0.42563567	0.8923315	0.6717907	0.98397505	1.0	3403	tags=77%, list=52%, signal=161%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		24	0.39745137	0.88908434	0.72232795	0.98346955	1.0	2665	tags=50%, list=41%, signal=84%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		27	0.39401647	0.8867976	0.728783	0.9808359	1.0	2895	tags=52%, list=44%, signal=93%	
KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION		44	0.37548086	0.8794526	0.7838	0.98923475	1.0	2705	tags=43%, list=41%, signal=73%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		33	0.38063818	0.87351227	0.77023107	0.99420136	1.0	3204	tags=58%, list=49%, signal=113%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		11	0.42330977	0.86705816	0.70225936	0.9998393	1.0	601	tags=18%, list=9%, signal=20%	
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION		8	0.4391437	0.85771734	0.7100288	1.0	1.0	932	tags=25%, list=14%, signal=29%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		43	0.36469018	0.85076743	0.8385839	1.0	1.0	3311	tags=56%, list=51%, signal=113%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS		11	0.4130632	0.85045457	0.7323274	1.0	1.0	880	tags=18%, list=13%, signal=21%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		18	0.38566905	0.844297	0.77017385	1.0	1.0	3111	tags=61%, list=48%, signal=117%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		39	0.36335558	0.84384966	0.8341	1.0	1.0	3169	tags=44%, list=49%, signal=84%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		9	0.42507023	0.84379953	0.7333263	0.9986804	1.0	2267	tags=44%, list=35%, signal=68%	
